carpeta,archivo,ruta_completa,total_items,non_new_total,non_new_principales,non_new_variantes
alarmas-sin-cuotas,productos.yml,C:\recomendadorwebnet\_data\alarmas-sin-cuotas\productos.yml,13,0,0,0
alarmas-sin-cuotas,extras.yml,C:\recomendadorwebnet\_data\alarmas-sin-cuotas\extras.yml,14,0,0,0
auriculares,productos.yml,C:\recomendadorwebnet\_data\auriculares\productos.yml,56,0,0,0
bicicletas-electricas,productos.yml,C:\recomendadorwebnet\_data\bicicletas-electricas\productos.yml,24,1,1,0
bicicletas-electricas-plegables,productos.yml,C:\recomendadorwebnet\_data\bicicletas-electricas-plegables\productos.yml,14,0,0,0
body-bebe-personalizado,productos.yml,C:\recomendadorwebnet\_data\body-bebe-personalizado\productos.yml,26,2,2,0
bolas-navidad-personalizadas,productos.yml,C:\recomendadorwebnet\_data\bolas-navidad-personalizadas\productos.yml,35,0,0,0
bolsas-carro-bebe,productos.yml,C:\recomendadorwebnet\_data\bolsas-carro-bebe\productos.yml,26,0,0,0
camisetas-padel-personalizadas,productos.yml,C:\recomendadorwebnet\_data\camisetas-padel-personalizadas\productos.yml,32,0,0,0
cojines-antiescaras,productos.yml,C:\recomendadorwebnet\_data\cojines-antiescaras\productos.yml,15,1,1,0
colchones135x190,productos.yml,C:\recomendadorwebnet\_data\colchones135x190\productos.yml,175,0,0,0
colchones90x190,productos.yml,C:\recomendadorwebnet\_data\colchones90x190\productos.yml,99,0,0,0
cuellos-de-pelo,productos.yml,C:\recomendadorwebnet\_data\cuellos-de-pelo\productos.yml,89,0,0,0
flamenca,productos.yml,C:\recomendadorwebnet\_data\flamenca\productos.yml,62,0,0,0
mantones-flamenca,productos.yml,C:\recomendadorwebnet\_data\mantones-flamenca\productos.yml,79,0,0,0
microfonos,productos.yml,C:\recomendadorwebnet\_data\microfonos\productos.yml,35,0,0,0
moto_electrica_ninos,productos.yml,C:\recomendadorwebnet\_data\moto_electrica_ninos\productos.yml,57,2,0,2
moto_electrica_ninos,productos-bloque-1.yml,C:\recomendadorwebnet\_data\moto_electrica_ninos\productos-bloque-1.yml,12,0,0,0
moto_electrica_ninos,productos-bloque-2.yml,C:\recomendadorwebnet\_data\moto_electrica_ninos\productos-bloque-2.yml,7,0,0,0
moto_electrica_ninos,productos-bloque-3.yml,C:\recomendadorwebnet\_data\moto_electrica_ninos\productos-bloque-3.yml,8,1,0,1
moto_electrica_ninos,productos-bloque-4.yml,C:\recomendadorwebnet\_data\moto_electrica_ninos\productos-bloque-4.yml,13,1,0,1
moto_electrica_ninos,productos-bloque-5.yml,C:\recomendadorwebnet\_data\moto_electrica_ninos\productos-bloque-5.yml,17,0,0,0
pilas-recargables,productos.yml,C:\recomendadorwebnet\_data\pilas-recargables\productos.yml,2,2,2,0
pulseras-actividad,productos.yml,C:\recomendadorwebnet\_data\pulseras-actividad\productos.yml,21,0,0,0
ratones,productos.yml,C:\recomendadorwebnet\_data\ratones\productos.yml,50,1,0,1
ratones-mars-gaming,productos.yml,C:\recomendadorwebnet\_data\ratones-mars-gaming\productos.yml,110,0,0,0
saco-silla-paseo,productos.yml,C:\recomendadorwebnet\_data\saco-silla-paseo\productos.yml,54,0,0,0
smartwatches-deportivos,productos.yml,C:\recomendadorwebnet\_data\smartwatches-deportivos\productos.yml,28,1,0,1
teclados,productos.yml,C:\recomendadorwebnet\_data\teclados\productos.yml,53,1,0,1
teclados-mars-gaming,productos.yml,C:\recomendadorwebnet\_data\teclados-mars-gaming\productos.yml,110,2,0,2
toallas-personalizadas,productos.yml,C:\recomendadorwebnet\_data\toallas-personalizadas\productos.yml,72,0,0,0
vestido-otono,productos.yml,C:\recomendadorwebnet\_data\vestido-otono\productos.yml,107,0,0,0
vestidos-fiesta-tallas-grandes,productos.yml,C:\recomendadorwebnet\_data\vestidos-fiesta-tallas-grandes\productos.yml,138,1,0,1
vestidos-invitada-talla-grande,productos.yml,C:\recomendadorwebnet\_data\vestidos-invitada-talla-grande\productos.yml,91,1,0,1